0, 0, 0, 69, 63, 75, 72, 69, 71, 66, 0, 78, 0, 0, 0, 0,
0, 0, 0, 68, 64, 73, 69, 71, 70, 67, 0, 80, 0, 0, 0, 0,
0, 0, 0, 66, 62, 74, 0, 74, 70, 0, 0, 0, 0, 0, 0, 0,
0, 71, 0, 66, 62, 72, 67, 75, 72, 0, 0, 83, 0, 0, 0, 0,
0, 0, 0, 68, 0, 69, 65, 0, 72, 0, 0, 84, 0, 0, 0, 0,
0, 0, 66, 0, 64, 72, 67, 77, 71, 0, 0, 85, 0, 0, 0, 0,
0, 0, 66, 65, 67, 73, 69, 78, 71, 0, 0, 86, 0, 0, 0, 0,
0, 0, 64, 62, 68, 74, 71, 80, 69, 0, 0, 88, 0, 0, 0, 92,
0, 68, 65, 62, 71, 74, 71, 80, 67, 0, 0, 90, 0, 0, 0, 90,
0, 68, 66, 62, 72, 75, 71, 77, 0, 0, 0, 93, 0, 0, 0, 0,
70, 70, 64, 62, 73, 76, 72, 75, 67, 0, 0, 94, 0, 0, 0, 87,
68, 69, 62, 64, 72, 0, 0, 74, 67, 0, 0, 91, 0, 0, 0, 86,
70, 70, 62, 65, 69, 75, 0, 73, 68, 0, 0, 88, 0, 0, 0, 83,
0, 0, 60, 65, 68, 74, 0, 74, 66, 0, 0, 88, 0, 0, 0, 80,
76, 70, 61, 0, 67, 76, 0, 74, 67, 63, 82, 0, 0, 0, 0, 77,
77, 70, 60, 0, 66, 78, 72, 75, 69, 62, 83, 0, 0, 0, 0, 0,
75, 69, 61, 0, 63, 79, 0, 78, 70, 62, 82, 66, 0, 0, 0, 0,
73, 69, 60, 0, 62, 81, 73, 77, 70, 61, 0, 0, 0, 0, 0, 0,
72, 0, 61, 0, 60, 80, 74, 74, 69, 62, 0, 0, 0, 0, 0, 0,
72, 0, 62, 0, 63, 81, 73, 73, 68, 61, 0, 64, 0, 0, 80, 0,
0, 0, 0, 0, 0, 79, 74, 0, 69, 61, 0, 0, 0, 0, 0, 0,
0, 0, 64, 71, 64, 78, 76, 74, 70, 61, 0, 0, 0, 0, 81, 0,
0, 0, 64, 72, 66, 79, 78, 76, 68, 0, 116, 0, 0, 0, 80, 0,
0, 0, 65, 70, 64, 80, 81, 77, 65, 61, 118, 82, 0, 0, 79, 0,
0, 0, 64, 69, 64, 79, 79, 78, 0, 62, 120, 84, 0, 0, 76, 0,
0, 0, 65, 70, 63, 80, 78, 80, 65, 61, 0, 86, 0, 0, 79, 0,
70, 0, 64, 71, 63, 78, 0, 81, 64, 61, 0, 87, 0, 0, 78, 0,
71, 74, 64, 68, 0, 0, 0, 84, 64, 0, 0, 85, 0, 0, 0, 91,
73, 73, 63, 65, 0, 77, 0, 84, 63, 0, 0, 83, 0, 0, 0, 93,
74, 73, 62, 64, 0, 75, 0, 82, 61, 0, 0, 80, 0, 0, 0, 91,
72, 72, 62, 63, 0, 73, 0, 80, 61, 0, 0, 79, 63, 0, 0, 88,
71, 70, 62, 62, 0, 72, 79, 78, 61, 0, 0, 76, 64, 0, 0, 85,
72, 68, 63, 61, 0, 70, 80, 75, 61, 0, 0, 74, 63, 0, 0, 82,
71, 68, 62, 58, 68, 68, 78, 76, 62, 62, 70, 0, 64, 0, 0, 80,
0, 69, 62, 0, 0, 71, 80, 74, 62, 0, 72, 0, 65, 0, 74, 79,
73, 70, 0, 0, 70, 71, 80, 75, 63, 63, 0, 0, 67, 0, 73, 77,
75, 69, 62, 0, 72, 72, 80, 0, 64, 64, 0, 0, 68, 0, 74, 0,
77, 69, 63, 0, 75, 72, 0, 77, 64, 64, 80, 0, 68, 0, 75, 76,
76, 0, 62, 0, 75, 74, 0, 78, 64, 0, 82, 97, 69, 0, 76, 74,
77, 69, 62, 0, 74, 77, 88, 81, 63, 0, 0, 100, 68, 62, 78, 73,
80, 69, 61, 0, 72, 79, 87, 83, 0, 0, 0, 99, 69, 0, 0, 70,
82, 70, 61, 0, 71, 79, 0, 80, 64, 0, 85, 98, 67, 0, 0, 71,
