0.001 sec,,20.0 sec,,60.0 sec,
1575.002,73,7500.0,0,#SAKNAS,#SAKNAS
1579.012,74,7520.0,0,#SAKNAS,#SAKNAS
1583.027,75,7540.0,0,#SAKNAS,#SAKNAS
1587.0,77,7560.0,0,#SAKNAS,#SAKNAS
1591.014,78,7580.0,0,#SAKNAS,#SAKNAS
1598.026,78,7600.0,0,#SAKNAS,#SAKNAS
1599.001,77,7620.0,0,#SAKNAS,#SAKNAS
1599.524,0,7640.0,0,#SAKNAS,#SAKNAS
1603.013,75,7660.0,0,#SAKNAS,#SAKNAS
1607.027,73,7680.0,0,#SAKNAS,#SAKNAS
1611.006,71,7700.0,0,#SAKNAS,#SAKNAS
1618.012,71,7720.0,0,#SAKNAS,#SAKNAS
1619.027,69,7740.0,0,#SAKNAS,#SAKNAS
1623.006,68,7760.0,0,#SAKNAS,#SAKNAS
1627.014,67,7780.0,0,#SAKNAS,#SAKNAS
1631.033,69,7800.0,0,#SAKNAS,#SAKNAS
1635.007,72,7820.0,0,#SAKNAS,#SAKNAS
1639.021,72,7840.0,0,#SAKNAS,#SAKNAS
1643.028,71,7860.0,0,#SAKNAS,#SAKNAS
1647.001,72,7880.0,0,#SAKNAS,#SAKNAS
1654.014,72,7900.0,0,#SAKNAS,#SAKNAS
1655.027,70,7920.0,0,#SAKNAS,#SAKNAS
1659.003,68,7940.0,0,#SAKNAS,#SAKNAS
1659.524,0,7960.0,75,#SAKNAS,#SAKNAS
1663.013,70,7980.0,71,#SAKNAS,#SAKNAS
1667.028,72,8000.0,74,#SAKNAS,#SAKNAS
1671.003,74,8020.0,0,#SAKNAS,#SAKNAS
1675.02,76,8040.0,0,#SAKNAS,#SAKNAS
1679.026,78,8060.0,90,#SAKNAS,#SAKNAS
1683.001,79,8080.0,0,#SAKNAS,#SAKNAS
1687.015,82,8100.0,0,#SAKNAS,#SAKNAS
1691.027,80,8120.0,88,#SAKNAS,#SAKNAS
1695.003,78,8140.0,80,#SAKNAS,#SAKNAS
1699.012,76,8160.0,0,#SAKNAS,#SAKNAS
1703.03,75,8180.0,0,#SAKNAS,#SAKNAS
