<1h,1-3h,3-6h,>6h
50.06,36.82,27.66,5.89
110.29,19.73,85.49,5.49
58.9,38.5,43.82,8.82
98.43,40.77,84.65,7.99
23.79,38.18,39.08,7.17
3.93,16.17,70.15,5.63
29.1,76.04,48.01,12.26
23.4,129.57,52.5,3.46
14.8,6.07,55.31,13.53
2.52,115.46,14.56,19.65
12.22,111.25,114.95,3.6
3.52,2.66,11.76,10.61
10.77,35.62,44.74,8.72
67.84,24.39,43.82,0.67
4.37,18.81,47.7,5.94
7.29,101.51,85.73,13.54
15.76,46.11,34.17,3.28
7.57,57.31,77.77,13.22
20.5,28.7,51.59,5.52
10.48,55.6,69.09,1.46
20.78,110.47,4.97,7.59
15.39,91.49,72.23,24.11
13.82,45.61,31.17,6.79
18.45,4.33,41.92,27.31
15.49,86.24,13.6,18.6
68.55,10.89,98.36,10.55
49.01,16.05,80.67,4.67
3.28,69.13,81.02,5.24
60.82,139.84,1.66,4.01
13.82,16.19,109.63,5.86
47.86,14.7,20.8,0.55
6.84,51.96,31.11,27.23
32.32,27.97,25.58,7.63
89.04,32.78,4.4,4.47
1.45,20.0,21.22,21.05
66.41,27.24,14.96,1.26
58.27,80.21,70.2,4.63
14.83,30.52,75.06,7.64
2.05,1.05,33.94,13.55
11.49,59.65,2.47,23.7
1.17,98.63,92.11,32.53
72.69,35.69,38.15,16.87
5.97,29.43,25.92,34.97
102.73,24.62,15.8,10.02
77.66,29.6,44.72,2.51
1.6,18.5,85.96,11.47
15.31,39.4,48.55,0.51
35.67,3.65,7.45,14.58
51.1,4.84,30.32,3.73
2.87,92.14,64.15,1.51
0.54,26.35,45.6,7.79
19.34,21.44,13.98,6.23
0.69,121.75,146.32,5.1
53.37,9.34,1.77,6.39
43.98,28.64,17.96,10.59
22.87,64.23,99.71,5.78
48.02,39.72,7.84,1.11
22.56,97.94,28.47,14.94
1.76,1.41,12.76,16.93
9.18,58.46,0.85,2.99
41.44,62.66,66.66,1.42
5.4,83.54,55.75,0.76
30.01,28.55,100.55,9.37
15.19,46.12,137.2,4.76
27.95,13.24,98.87,16.82
3.02,39.45,11.16,3.86
10.37,14.7,21.48,10.77
36.13,71.64,64.3,9.3
31.23,58.83,58.37,1.67
0.54,30.45,95.18,16.91
16.67,45.96,48.67,9.74
29.4,7.2,42.0,17.37
94.6,16.6,119.19,13.37
74.6,7.38,85.89,8.01
9.18,89.05,110.73,13.2
19.05,8.42,49.79,1.4
21.72,12.72,76.82,1.76
11.41,13.67,109.07,10.29
32.12,18.64,2.9,16.22
33.71,21.78,84.19,10.05
13.47,45.0,61.37,9.14
19.83,16.31,83.81,14.97
7.59,30.77,0.68,32.04
1.81,77.19,120.85,12.51
19.42,28.35,15.14,2.03
53.1,6.07,1.13,4.03
2.83,118.0,62.73,10.54
9.13,12.04,78.71,1.91
4.03,11.48,24.98,9.45
22.04,4.31,16.22,3.04
24.04,13.57,56.2,7.54
22.19,143.17,51.97,6.86
7.78,7.76,8.67,14.85
15.1,34.09,8.13,24.12
37.94,0.08,59.78,19.91
2.81,71.66,126.89,4.95
11.84,9.69,8.95,0.53
8.31,44.11,29.47,0.38
26.97,18.28,15.66,4.47
50.65,1.62,31.0,1.07
7.8,12.99,39.09,2.97
34.43,16.06,48.93,5.21
8.51,34.14,76.23,13.29
10.24,3.06,14.08,1.08
1.84,59.15,62.29,18.56
5.07,35.42,42.61,1.52
3.83,56.16,99.47,9.82
10.52,1.2,8.86,1.41
20.77,25.96,118.26,7.11
1.14,13.38,75.99,0.74
23.77,110.37,13.07,3.98
59.46,2.81,84.16,12.32
1.57,1.72,12.03,9.51
35.57,10.26,25.35,7.63
8.48,7.38,43.68,4.92
4.5,117.1,116.59,5.63
3.11,74.88,64.84,1.66
1.44,73.52,21.69,5.36
7.06,19.22,18.87,7.21
0.42,21.39,29.35,13.39
9.83,17.61,36.66,5.79
0.59,64.29,24.59,0.49
25.42,145.04,49.3,7.31
1.18,30.37,73.6,3.08
20.6,50.43,55.12,7.41
11.28,109.57,108.04,5.41
1.14,83.55,17.13,29.16
63.89,47.99,9.95,5.93
1.35,14.63,57.55,23.76
9.0,2.16,96.08,15.21
4.4,0.71,13.32,5.28
43.09,46.3,45.4,4.22
1.35,20.72,8.51,9.19
31.71,15.48,62.83,3.04
33.25,4.11,18.74,1.15
3.45,20.59,100.33,15.28
10.19,109.38,3.54,20.39
16.51,123.95,13.1,1.83
4.08,78.56,128.37,17.89
3.65,24.96,18.07,7.2
15.27,58.09,47.11,10.23
12.45,53.04,103.45,11.3
9.09,90.02,29.62,23.85
23.14,117.02,3.06,18.09
0.48,70.58,25.89,16.12
50.4,24.08,10.92,8.09
14.74,6.05,45.22,9.47
1.54,13.78,42.61,9.86
21.81,71.91,12.33,11.83
18.14,54.66,56.05,6.36
2.42,15.73,13.73,7.12
15.33,56.47,5.81,19.4
2.67,19.21,8.91,21.97
0.18,47.34,69.41,1.72
9.12,38.1,25.26,4.72
1.36,61.1,138.77,6.11
19.28,15.28,50.76,1.78
3.2,46.0,121.09,0.54
37.15,21.38,14.61,10.11
36.24,68.02,11.59,6.67
1.49,2.43,48.33,2.57
20.15,2.76,14.18,8.16
27.92,24.79,9.72,3.74
1.98,6.81,35.41,12.78
1.83,30.9,44.09,1.77
23.62,15.35,11.86,7.66
54.3,40.06,90.73,15.01
2.84,7.26,48.11,3.64
7.15,19.89,6.42,2.16
12.82,9.15,31.9,7.33
4.9,10.74,19.28,8.82
87.14,3.32,73.53,6.09
1.7,15.48,33.4,22.46
1.62,30.12,5.54,5.04
21.13,26.01,27.21,14.51
13.6,14.16,38.51,9.07
6.26,19.84,55.25,12.19
13.47,34.88,11.28,13.7
9.75,138.87,78.77,2.57
4.21,15.28,21.08,11.71
2.92,1.79,40.64,4.35
11.65,103.17,63.82,0.31
9.89,10.01,19.79,9.59
19.16,25.93,10.19,11.75
74.47,24.08,65.73,2.65
76.03,25.85,63.91,12.64
11.58,51.35,4.72,0.34
18.42,6.12,51.15,9.86
4.96,33.35,125.65,4.35
14.78,72.89,47.82,6.7
0.73,0.67,23.58,6.45
21.27,6.12,42.36,10.94
6.51,7.46,17.54,10.46
11.37,69.57,0.04,19.07
25.22,2.37,15.32,5.83
70.69,1.65,82.65,0.14
10.53,57.84,12.08,20.74
22.23,9.12,45.99,1.84
4.22,7.78,50.11,25.42
1.73,16.5,23.03,18.9
1.4,88.67,40.73,8.78
0.54,56.82,13.23,2.13
9.81,4.35,85.71,0.13
5.57,31.06,31.46,15.46
11.12,92.91,41.03,0.66
4.31,31.97,6.97,8.54
12.84,13.05,122.49,14.19
0.3,15.28,55.11,8.08
4.79,3.51,35.41,0.79
6.55,95.12,6.1,8.4
9.99,8.8,42.94,1.74
45.38,38.2,60.16,21.07
7.37,27.65,120.71,1.54
31.23,6.31,42.87,9.27
16.56,129.49,195.19,7.02
7.49,9.63,54.1,0.55
0.29,2.61,136.61,16.34
3.92,27.29,97.64,9.16
26.54,12.54,50.17,2.77
4.51,4.92,21.54,10.91
5.08,15.99,29.24,4.67
12.42,6.93,42.34,3.68
1.67,55.75,98.77,20.48
6.46,7.06,24.5,13.05
5.03,18.43,8.94,0.48
3.14,27.4,36.47,15.93
3.76,16.21,57.07,7.01
10.59,15.86,20.84,3.22
9.94,17.06,15.24,2.06
1.37,72.53,33.64,2.68
14.46,56.17,11.49,2.77
17.53,20.37,35.47,9.51
8.24,18.88,77.89,12.73
24.63,12.23,36.07,12.25
0.77,12.81,38.89,7.97
9.75,15.98,28.32,0.81
12.93,20.82,45.9,9.74
18.31,96.21,7.46,26.95
26.58,3.25,44.76,13.94
28.26,18.45,34.48,4.91
18.77,9.02,37.63,13.19
18.71,0.88,36.04,12.78
13.3,4.79,76.24,3.28
17.36,35.96,19.02,14.56
7.74,11.7,123.31,4.57
7.08,47.09,132.76,1.91
10.97,64.24,29.25,12.67
1.51,45.96,40.62,21.97
5.11,19.79,1.73,4.69
51.16,65.72,19.55,5.96
1.9,24.17,3.21,6.7
6.64,38.66,116.49,4.75
15.67,10.08,29.73,2.69
0.82,28.44,53.6,0.02
25.56,59.49,13.37,1.14
12.09,56.88,16.63,0.72
0.61,132.42,55.23,7.4
18.32,1.47,55.37,5.0
6.63,27.42,57.24,7.46
2.32,19.71,75.71,11.44
15.94,8.38,10.72,16.39
1.57,35.14,79.97,12.15
18.66,33.59,18.21,16.03
9.08,27.95,7.4,9.75
16.6,24.43,20.04,15.08
1.57,5.64,1.87,21.39
19.28,14.09,12.72,3.05
7.2,12.63,13.13,3.18
