<1h,1-3h,3-6h,>6h
0.4,1.07,0.33,458.57
4.17,5.59,0.68,151.06
0.01,11.8,1.13,50.73
0.36,5.93,8.73,146.99
0.09,0.83,21.83,28.01
0.54,4.49,6.31,4.55
1.87,6.08,1.08,22.7
3.74,1.93,22.34,513.1
0.91,3.09,2.46,55.41
0.02,0.5,10.89,14.24
2.88,1.06,19.63,33.45
1.82,2.59,14.46,57.02
2.12,0.86,7.79,4.15
15.45,0.39,14.11,28.72
0.01,0.85,17.82,24.54
0.01,0.16,6.86,9.55
0.11,2.02,10.69,10.79
2.57,2.23,42.74,421.97
3.68,4.91,10.84,14.43
0.01,6.37,3.0,486.31
0.01,0.52,7.52,12.33
2.1,3.43,26.61,15.03
0.01,2.35,21.38,41.97
0.01,0.6,12.79,29.07
0.01,6.37,5.48,238.45
0.01,5.29,14.03,7.76
5.04,1.39,0.97,184.91
0.01,3.12,0.7,416.88
4.61,5.41,6.95,27.84
0.01,3.51,4.44,67.4
5.7,1.79,14.3,35.04
0.72,6.51,15.75,172.82
3.14,8.29,9.63,221.31
0.41,19.44,4.95,110.09
2.31,11.63,33.29,142.51
3.12,7.98,1.98,42.95
2.77,13.99,7.03,113.39
1.24,6.03,11.48,359.57
6.68,25.34,1.05,43.06
11.34,5.21,18.14,33.57
2.85,26.36,7.14,11.11
9.92,21.74,10.75,41.71
3.09,6.93,9.45,78.48
2.96,1.2,8.44,196.19
2.65,11.44,11.47,25.86
1.41,14.04,9.39,21.86
1.17,19.84,14.24,1.12
0.01,23.61,8.74,6.59
0.01,4.52,9.36,308.96
23.0,14.11,13.75,196.27
0.01,7.43,19.76,138.59
0.01,8.02,2.14,32.62
0.69,8.4,5.57,16.69
1.87,2.15,8.07,5.38
1.43,2.92,2.75,46.68
1.21,7.21,3.92,10.09
0.5,17.33,5.24,24.63
7.28,1.03,17.13,35.11
0.29,13.84,21.56,59.99
4.38,2.97,11.21,85.53
3.04,28.05,9.34,29.26
0.01,12.61,15.47,86.65
4.33,0.43,5.62,31.1
0.01,14.84,40.3,528.55
