<1h,1-3h,3-6h,>6h
12.93, 41.27, 54.74, 62.28
19.87, 50.57, 25.78, 62.69
36.85, 4.57, 47.93, 229.85
19.72, 19.26, 45.92, 14.63
34.82, 14.13, 28.1, 19.31
8.3, 33.84, 12.74, 4.91
21.35, 16.2, 35.79, 183.42
53.42, 26.24, 62.39, 95.1
27.32, 27.03, 29.57, 64.18
9.55, 2.83, 1.91, 60.09
8.54, 11.31, 6.85, 13.06
6.08, 14.83, 28.24, 80.85
18.62, 15.72, 6.31, 2.57
25.93, 5.02, 22.85, 56.82
1.71, 45.03, 66.26, 13.17
4.08, 31.14, 144.71, 71.17
1.58, 29.72, 10.67, 11.2
3.36, 18.07, 23.24, 18.27
26.31, 15.17, 57.98, 256.65
8.11, 33.75, 81.95, 17.06
8.62, 4.6, 45.21, 27.42
44.51, 14.14, 14.92, 8.49
3.93, 5.31, 9.11, 19.18
25.71, 3.13, 36.29, 532.44
45.78, 31.06, 19.39, 45.88
15.29, 7.25, 32.63, 3.79
9.04, 26.75, 53.04, 357.71
2.6, 1.86, 33.03, 68.81
1.59, 1.97, 45.92, 24.13
37.87, 25.24, 42.57, 22.21
9.78, 21.79, 74.97, 3.08
26.42, 26.78, 45.37, 6.66
0.62, 14.53, 9.81, 53.5
11.58, 2.91, 17.9, 17.36
32.25, 25.66, 166.77, 185.69
5.03, 3.88, 1.77, 97.42
7.07, 11.95, 69.48, 25.06
5.61, 0.56, 57.69, 417.28
3.85, 6.01, 3.41, 0.89
0.31, 0.14, 37.42, 19.82
3.53, 9.82, 7.62, 63.49
14.5, 26.55, 13.44, 106.53
26.27, 15.67, 45.89, 276.17
16.78, 18.45, 49.79, 5.31
20.17, 5.69, 59.27, 2.21
25.76, 29.77, 14.07, 2.35
6.61, 26.15, 22.45, 247.45
47.41, 22.52, 33.03, 7.72
12.44, 27.79, 13.44, 57.28
16.44, 13.12, 43.24, 98.99
5.12, 18.71, 22.3, 236.81
4.52, 6.07, 22.35, 426.96
32.14, 27.67, 28.62, 423.26
7.47, 8.63, 15.44, 75.88
37.31, 14.22, 109.0, 26.18
7.52, 14.98, 9.72, 37.56
29.3, 4.85, 12.72, 12.0
1.53, 0.91, 20.12, 25.13
4.73, 13.94, 78.16, 2.42
9.37, 1.5, 34.19, 24.69
1.41, 0.09, 18.14, 580.29
1.5, 1.04, 39.15, 60.66
2.24, 29.2, 62.72, 215.65
38.41, 0.37, 97.35, 130.18
6.08, 13.72, 40.07, 12.24
5.16, 22.77, 5.0, 142.4
16.66, 20.47, 15.73, 35.91
7.07, 8.89, 52.77, 28.31
20.83, 33.34, 9.39, 31.89
59.14, 40.18, 28.08, 7.35
22.72, 27.41, 6.26, 6.85
51.87, 38.1, 12.85, 205.78
8.32, 4.79, 24.71, 17.18
21.31, 11.42, 27.34, 43.51
1.17, 9.68, 1.94, 85.78
0.55, 7.85, 46.35, 404.37
3.84, 3.83, 6.79, 48.78
0.17, 0.98, 20.96, 26.0
6.31, 5.79, 75.95, 154.97
3.43, 9.24, 221.28, 249.65
3.25, 34.76, 38.48, 48.78
11.66, 0.68, 47.56, 14.97
0.57, 11.58, 22.92, 11.63
48.74, 2.7, 20.14, 52.95
12.26, 3.67, 63.2, 154.56
9.22, 15.11, 20.88, 13.72
17.38, 6.07, 178.27, 30.34
0.78, 9.3, 46.42, 50.76
4.87, 1.11, 23.72, 23.77
7.17, 5.1, 29.59, 54.52
1.11, 7.53, 20.39, 12.92
5.12, 40.01, 6.38, 238.42
1.56, 11.43, 25.05, 135.18
1.51, 31.88, 42.24, 106.68
1.69, 23.41, 25.15, 17.67
1.6, 16.73, 30.64, 24.47
6.15, 13.09, 13.97, 122.08
18.68, 9.32, 0.29, 52.55
3.12, 10.2, 48.12, 22.07
10.01, 9.54, 2.24, 100.91
0.37, 21.32, 21.67, 85.93
5.92, 9.31, 2.22, 25.5
6.97, 1.68, 5.43, 8.64
0.44, 23.69, 7.44, 313.14
16.74, 6.93, 4.69, 8.69
2.49, 27.92, 2.22, 303.62
42.93, 18.91, 45.36, 2.62
15.36, 17.21, 154.82, 27.31
3.41, 13.39, 37.79, 49.57
1.2, 5.66, 11.69, 96.67
